"Id","Group","AtlasColumn","AtlasRow","SourceColumn","SourceRow","SourceX","SourceY"
"tile_000","boulder","0","0","0","1","0","5888"
"tile_001","boulder","1","0","1","1","32","5888"
"tile_002","boulder","2","0","2","1","64","5888"
"tile_003","boulder","3","0","3","1","96","5888"
"tile_004","boulder","4","0","4","1","128","5888"
"tile_005","boulder","5","0","5","1","160","5888"
"tile_006","boulder","6","0","6","1","192","5888"
"tile_007","boulder","7","0","7","1","224","5888"
"tile_008","boulder","0","1","0","2","0","5920"
"tile_009","boulder","1","1","1","2","32","5920"
"tile_010","boulder","2","1","2","2","64","5920"
"tile_011","boulder","3","1","4","2","128","5920"
"tile_012","boulder","4","1","6","2","192","5920"
"tile_013","boulder","5","1","7","2","224","5920"
"tile_014","boulder","6","1","0","3","0","5952"
"tile_015","boulder","7","1","1","3","32","5952"
"tile_016","boulder","0","2","2","3","64","5952"
"tile_017","boulder","1","2","4","3","128","5952"
"tile_018","object","2","2","0","4","0","5984"
"tile_019","object","3","2","1","4","32","5984"
"tile_020","object","4","2","2","4","64","5984"
"tile_021","object","5","2","3","4","96","5984"
"tile_022","object","6","2","4","4","128","5984"
"tile_023","object","7","2","5","4","160","5984"
"tile_024","object","0","3","6","4","192","5984"
"tile_025","object","1","3","7","4","224","5984"
"tile_026","object","2","3","1","5","32","6016"
"tile_027","object","3","3","2","5","64","6016"
"tile_028","object","4","3","4","5","128","6016"
"tile_029","object","5","3","5","5","160","6016"
"tile_030","object","6","3","6","5","192","6016"
"tile_031","object","7","3","7","5","224","6016"
"tile_032","wall","0","4","0","6","0","6048"
"tile_033","wall","1","4","1","6","32","6048"
"tile_034","wall","2","4","3","6","96","6048"
"tile_035","wall","3","4","4","6","128","6048"
"tile_036","wall","4","4","5","6","160","6048"
"tile_037","wall","5","4","6","6","192","6048"
"tile_038","wall","6","4","0","7","0","6080"
"tile_039","wall","7","4","1","7","32","6080"
"tile_040","wall","0","5","3","7","96","6080"
"tile_041","wall","1","5","4","7","128","6080"
"tile_042","wall","2","5","0","8","0","6112"
"tile_043","wall","3","5","1","8","32","6112"
"tile_044","wall","4","5","2","8","64","6112"
"tile_045","wall","5","5","3","8","96","6112"
"tile_046","wall","6","5","4","8","128","6112"
"tile_047","terrain","7","5","0","9","0","6144"
"tile_048","terrain","0","6","1","9","32","6144"
"tile_049","terrain","1","6","2","9","64","6144"
"tile_050","terrain","2","6","3","9","96","6144"
"tile_051","terrain","3","6","4","9","128","6144"
"tile_052","terrain","4","6","5","9","160","6144"
"tile_053","terrain","5","6","6","9","192","6144"
"tile_054","terrain","6","6","7","9","224","6144"
"tile_055","terrain","7","6","0","10","0","6176"
"tile_056","terrain","0","7","1","10","32","6176"
"tile_057","terrain","1","7","2","10","64","6176"
"tile_058","terrain","2","7","3","10","96","6176"
"tile_059","terrain","3","7","4","10","128","6176"
"tile_060","terrain","4","7","5","10","160","6176"
"tile_061","terrain","5","7","6","10","192","6176"
"tile_062","terrain","6","7","7","10","224","6176"
"tile_063","terrain","7","7","0","11","0","6208"
"tile_064","terrain","0","8","1","11","32","6208"
"tile_065","terrain","1","8","2","11","64","6208"
"tile_066","terrain","2","8","3","11","96","6208"
"tile_067","terrain","3","8","4","11","128","6208"
"tile_068","terrain","4","8","5","11","160","6208"
"tile_069","terrain","5","8","6","11","192","6208"
"tile_070","terrain","6","8","0","12","0","6240"
"tile_071","terrain","7","8","1","12","32","6240"
"tile_072","terrain","0","9","2","12","64","6240"
"tile_073","terrain","1","9","3","12","96","6240"
"tile_074","terrain","2","9","6","12","192","6240"
"tile_075","terrain","3","9","7","12","224","6240"
"tile_076","terrain","4","9","0","13","0","6272"
"tile_077","terrain","5","9","1","13","32","6272"
"tile_078","terrain","6","9","2","13","64","6272"
"tile_079","terrain","7","9","3","13","96","6272"
"tile_080","terrain","0","10","4","13","128","6272"
"tile_081","terrain","1","10","6","13","192","6272"
"tile_082","terrain","2","10","7","13","224","6272"
"tile_083","terrain","3","10","0","14","0","6304"
"tile_084","terrain","4","10","2","14","64","6304"
"tile_085","terrain","5","10","3","14","96","6304"
"tile_086","terrain","6","10","4","14","128","6304"
"tile_087","terrain","7","10","5","14","160","6304"
"tile_088","terrain","0","11","6","14","192","6304"
"tile_089","terrain","1","11","0","15","0","6336"
"tile_090","terrain","2","11","1","15","32","6336"
"tile_091","terrain","3","11","2","15","64","6336"
"tile_092","terrain","4","11","3","15","96","6336"
"tile_093","terrain","5","11","4","15","128","6336"
"tile_094","terrain","6","11","5","15","160","6336"
"tile_095","terrain","7","11","6","15","192","6336"
